country,year,disease_name,disease_category,prevalence_rate,incidence_rate,mortality_rate,age_group,gender,population_affected,healthcare_access,doctors_per_1000,hospital_beds_per_1000,treatment_type,average_treatment_cost_usd,availability_of_vaccines_treatment,recovery_rate,improvement_in_5_years,per_capita_income_usd,education_index,urbanization_rate
France,2002,Parkinson's Disease,Metabolic,2.29,3.2,2.32,36-60,Male,933861,90.04,4.03,6.13,Surgery,39247,No,72.81,5.31,33202,0.79,78.32
China,2015,Zika,Cardiovascular,19.65,13.86,1.85,0-18,Female,269838,84.58,0.59,1.06,Medication,5725,No,78.84,7.87,80912,0.7,53.4
Brazil,2020,COVID-19,Cardiovascular,8.04,9.1,7.89,19-35,Male,358042,65.58,1.24,4.55,Vaccination,29631,Yes,66.5,4.22,70578,0.87,75.13
Indonesia,2006,Cancer,Chronic,14.22,2.3,3.4,36-60,Female,697299,71.7,4.65,5.83,Medication,33048,No,74.32,0.09,26444,0.66,61.68
Brazil,2017,Ebola,Cardiovascular,16.55,3.12,5.56,19-35,Male,282337,57.7,2.66,3.13,Vaccination,5769,Yes,53.35,5.8,53232,0.5,50.81
France,2015,Dengue,Respiratory,15.95,7.36,1.49,61+,Female,405650,58.3,1.66,3.38,Therapy,4576,No,65.86,9.96,68670,0.45,61.15
Turkey,2016,COVID-19,Genetic,16.18,8.53,8.27,0-18,Male,720787,99.72,3.64,6.48,Surgery,47139,No,65.96,3.53,53521,0.46,30.96
India,2014,Diabetes,Cardiovascular,12.41,6.19,1.81,19-35,Male,88593,76.54,4.92,5.09,Medication,41841,No,51.51,8.25,55456,0.71,57.99
South Africa,2007,Alzheimer's Disease,Bacterial,14.54,12.21,6.82,19-35,Male,156109,90.42,4.68,6.43,Vaccination,13734,No,54.11,7.18,98319,0.4,27.08
Brazil,2020,Cholera,Parasitic,2.9,3.07,5.48,61+,Other,552743,88.46,4.32,1.03,Surgery,6822,No,61.28,4.31,51953,0.88,55.39
UK,2005,Parkinson's Disease,Metabolic,12.11,10.42,8.76,61+,Male,106982,53.95,2.2,8.68,Vaccination,26923,Yes,72.7,1.16,20454,0.74,28.54
Japan,2012,Influenza,Infectious,1.5,10.77,5.53,36-60,Male,914636,88.38,4.28,8.73,Medication,27968,No,59.07,9.31,91085,0.5,51.81
India,2007,Rabies,Parasitic,14.34,14.15,0.51,0-18,Female,464441,71.82,3.43,7.69,Therapy,12696,Yes,67.92,8.18,80942,0.55,83.51
Germany,2008,Ebola,Metabolic,8.54,12.34,2.6,61+,Male,666132,58.68,3.26,4.55,Therapy,19293,No,56.76,7.94,99881,0.77,78.81
South Korea,2018,Ebola,Genetic,0.54,3.58,2.16,0-18,Other,571622,64.95,0.94,4.14,Therapy,34501,Yes,74.8,5.38,650,0.44,83.38
China,2001,HIV/AIDS,Cardiovascular,17.59,6.04,0.27,0-18,Male,867503,65.03,2.42,0.76,Vaccination,18013,Yes,60.0,6.4,19487,0.83,79.43
Russia,2005,Leprosy,Bacterial,12.42,6.49,7.48,61+,Female,501696,63.07,4.24,2.75,Vaccination,44861,Yes,67.1,9.65,43279,0.69,56.17
USA,2000,Alzheimer's Disease,Metabolic,14.9,6.07,9.97,19-35,Other,504136,90.33,3.77,0.96,Therapy,39488,No,93.48,6.39,64738,0.72,31.58
India,2014,Zika,Autoimmune,10.26,13.34,3.95,19-35,Male,929371,75.71,4.58,8.32,Surgery,44340,No,66.46,4.55,4342,0.5,50.28
South Africa,2018,Zika,Parasitic,19.51,8.93,7.54,61+,Other,815452,79.83,3.76,5.54,Therapy,17385,Yes,85.2,2.32,51902,0.45,57.81
UK,2005,COVID-19,Genetic,12.88,13.39,1.28,61+,Male,292375,58.63,3.02,0.75,Vaccination,34471,No,80.08,2.33,18611,0.85,68.67
Brazil,2022,Malaria,Metabolic,9.67,3.19,8.98,36-60,Other,758076,75.87,1.61,3.42,Medication,6704,Yes,90.43,3.39,80250,0.69,55.05
France,2014,Malaria,Cardiovascular,17.62,7.55,5.42,0-18,Male,699524,99.72,1.31,2.35,Therapy,16289,No,94.37,7.93,15286,0.74,28.86
Indonesia,2020,Hypertension,Infectious,0.85,1.99,4.13,61+,Male,878885,77.52,2.19,7.96,Surgery,17078,No,66.32,4.36,79088,0.81,87.46
South Korea,2006,Ebola,Metabolic,4.4,3.03,2.85,36-60,Female,141407,82.33,4.21,9.67,Vaccination,47802,Yes,96.17,1.95,78028,0.5,33.58
Turkey,2003,Alzheimer's Disease,Metabolic,1.26,0.3,8.79,19-35,Male,742653,77.04,0.68,1.1,Therapy,425,No,79.32,8.23,93252,0.67,40.93
Italy,2014,Cholera,Metabolic,6.22,0.99,1.57,61+,Male,71155,93.12,0.79,4.18,Therapy,2225,No,56.81,7.81,63174,0.87,26.5
China,2016,Rabies,Chronic,5.65,14.23,4.64,61+,Other,726935,50.63,4.47,9.55,Vaccination,47178,Yes,89.56,1.81,23360,0.59,61.14
Canada,2008,Ebola,Genetic,7.95,11.12,1.31,36-60,Male,618328,89.03,2.81,6.28,Medication,31893,Yes,62.26,6.23,97088,0.68,28.57
Russia,2024,Rabies,Viral,13.65,13.55,9.89,36-60,Male,488720,58.78,3.73,5.71,Therapy,1335,Yes,56.16,1.67,87219,0.85,87.92
Brazil,2005,Hepatitis,Bacterial,0.38,10.13,5.58,19-35,Other,128074,51.07,1.22,9.18,Medication,39091,Yes,95.2,2.33,66491,0.43,52.99
Argentina,2007,Hepatitis,Infectious,17.49,8.51,1.99,19-35,Other,104809,91.17,3.19,1.41,Therapy,41179,Yes,70.88,7.44,48909,0.88,34.06
South Korea,2024,COVID-19,Autoimmune,18.15,1.75,4.55,61+,Male,480776,58.92,2.06,8.37,Therapy,18648,No,50.31,4.68,3362,0.63,72.36
UK,2009,Parkinson's Disease,Metabolic,0.89,11.36,7.37,61+,Other,455565,64.07,1.11,8.22,Vaccination,9794,No,81.55,5.4,28140,0.6,52.61
Indonesia,2003,Asthma,Autoimmune,16.89,7.97,9.82,0-18,Female,37674,79.17,4.32,9.35,Therapy,2756,No,70.11,7.91,2950,0.77,48.42
Mexico,2007,Hepatitis,Autoimmune,0.17,12.37,1.13,61+,Other,937868,95.09,1.79,1.14,Therapy,46239,No,59.05,5.53,17737,0.72,30.67
Indonesia,2014,Ebola,Parasitic,8.13,5.77,1.86,0-18,Female,978668,96.53,1.46,2.57,Medication,23978,No,58.55,2.84,35974,0.46,77.9
South Africa,2023,Influenza,Chronic,15.29,10.02,1.22,36-60,Male,839942,95.06,1.16,9.06,Vaccination,37840,Yes,69.79,2.34,45037,0.63,28.65
UK,2020,Parkinson's Disease,Bacterial,8.68,3.54,5.24,36-60,Female,944310,81.08,3.92,8.75,Vaccination,5259,Yes,75.08,6.09,42777,0.86,71.74
Canada,2020,Leprosy,Cardiovascular,7.78,4.01,9.43,19-35,Female,348412,66.06,0.62,2.77,Therapy,6687,No,66.91,2.75,88871,0.58,88.65
Japan,2015,Influenza,Parasitic,6.32,14.77,0.46,36-60,Male,688026,82.82,3.54,9.93,Surgery,864,No,77.8,2.89,86210,0.64,27.62
South Korea,2010,Cancer,Infectious,19.8,2.44,2.04,0-18,Female,633917,92.63,3.51,7.5,Therapy,24482,No,55.73,8.37,19301,0.62,64.85
Italy,2013,Hypertension,Bacterial,9.11,12.71,1.99,19-35,Other,141427,58.23,1.8,5.23,Vaccination,48337,Yes,96.1,7.35,87231,0.85,29.47
China,2024,Zika,Autoimmune,1.28,13.62,6.39,36-60,Male,360764,90.85,1.17,6.84,Medication,45449,Yes,65.68,0.44,32590,0.74,21.91
UK,2022,Alzheimer's Disease,Viral,2.93,12.69,7.74,19-35,Male,301058,64.33,3.16,8.58,Medication,36163,No,50.49,0.96,51844,0.46,74.04
India,2003,Tuberculosis,Neurological,17.01,1.66,3.48,0-18,Other,433316,89.41,1.0,8.56,Medication,15390,Yes,54.0,0.71,12833,0.62,27.09
South Korea,2001,Cancer,Parasitic,1.74,8.04,4.56,0-18,Other,162837,98.35,0.67,1.21,Therapy,5990,Yes,88.56,2.36,93983,0.54,52.94
South Korea,2023,Cholera,Metabolic,12.76,7.09,6.69,36-60,Other,913048,91.27,0.92,8.56,Vaccination,17600,No,54.78,6.64,34451,0.73,70.73
China,2011,Hypertension,Respiratory,10.78,13.89,9.67,61+,Other,539707,88.64,0.98,2.77,Therapy,28959,No,94.52,5.1,41431,0.76,38.65
South Africa,2015,Diabetes,Metabolic,19.42,1.66,6.63,19-35,Female,298835,82.73,4.32,7.35,Vaccination,45854,Yes,77.93,6.62,30352,0.75,77.13
South Korea,2017,HIV/AIDS,Neurological,5.24,1.81,1.87,36-60,Other,892498,57.48,2.44,1.58,Vaccination,43531,Yes,60.99,1.99,97005,0.57,78.0
France,2002,Cancer,Metabolic,18.24,12.37,0.98,61+,Male,337398,88.82,1.11,3.37,Surgery,26357,Yes,93.79,6.86,73272,0.41,31.98
Canada,2010,Rabies,Neurological,6.14,3.48,8.85,0-18,Other,219953,67.27,2.11,1.47,Medication,27232,No,79.63,3.27,46313,0.81,48.25
UK,2011,Cholera,Bacterial,12.36,5.71,4.16,19-35,Other,827397,92.21,2.72,9.34,Surgery,37745,No,62.69,0.68,43697,0.85,81.76
South Korea,2020,Tuberculosis,Infectious,7.82,1.53,6.05,0-18,Other,282252,85.83,1.14,2.97,Medication,43145,No,88.53,8.79,59953,0.84,51.44
UK,2017,Malaria,Viral,0.65,13.51,5.87,61+,Male,631538,95.7,2.25,3.09,Surgery,16996,Yes,78.44,7.67,67912,0.75,66.36
Saudi Arabia,2010,Hypertension,Parasitic,12.64,9.35,8.58,19-35,Other,879072,76.08,4.05,6.68,Vaccination,14518,Yes,67.86,6.44,13780,0.83,47.34
Mexico,2014,Rabies,Parasitic,6.07,14.9,8.72,0-18,Male,142801,85.41,3.62,8.82,Medication,16304,No,85.33,3.7,23888,0.52,47.3
South Korea,2020,Diabetes,Chronic,5.52,12.02,4.57,61+,Male,585618,62.58,3.17,5.16,Medication,14751,Yes,74.64,5.62,3741,0.66,68.76
India,2020,Asthma,Cardiovascular,1.49,4.29,0.94,36-60,Other,170271,60.7,0.6,8.13,Therapy,5346,Yes,75.78,5.28,39850,0.72,70.07
USA,2000,Hypertension,Viral,7.23,4.55,8.86,61+,Female,393468,60.47,3.56,3.18,Medication,46450,Yes,95.97,3.1,31761,0.73,36.14
Japan,2011,Parkinson's Disease,Genetic,14.11,10.81,1.59,36-60,Other,279653,61.97,4.15,4.56,Vaccination,30128,Yes,66.52,0.93,67768,0.73,49.15
Nigeria,2012,Measles,Bacterial,4.32,13.27,8.31,19-35,Male,802226,92.02,2.78,7.65,Therapy,26762,No,57.47,0.78,87422,0.82,34.69
Argentina,2013,Dengue,Cardiovascular,9.12,11.06,6.78,61+,Other,117478,98.88,3.51,2.12,Therapy,31335,Yes,68.25,7.29,14774,0.77,71.82
South Korea,2010,Ebola,Autoimmune,11.28,11.76,9.55,0-18,Male,759738,79.78,3.39,2.51,Surgery,12300,No,55.6,3.41,12181,0.56,85.52
France,2018,Alzheimer's Disease,Neurological,10.62,10.57,0.33,0-18,Male,792757,69.93,2.95,0.62,Medication,31486,Yes,79.78,2.69,61400,0.62,62.84
Saudi Arabia,2022,Alzheimer's Disease,Bacterial,7.45,7.93,9.67,36-60,Female,299316,86.95,4.34,6.28,Surgery,41526,Yes,65.93,0.58,45104,0.84,79.43
Japan,2018,Diabetes,Parasitic,10.34,3.13,6.81,0-18,Male,400394,88.97,2.79,1.52,Vaccination,38302,Yes,60.87,0.16,50617,0.87,58.29
Mexico,2021,Hepatitis,Infectious,0.98,14.84,1.87,0-18,Male,313644,81.1,4.59,9.12,Surgery,47652,Yes,68.41,2.04,88769,0.78,64.82
Indonesia,2002,Dengue,Viral,13.47,5.92,4.43,36-60,Female,567906,77.35,4.19,3.6,Therapy,34596,Yes,72.51,5.37,11136,0.66,55.62
Australia,2002,Ebola,Genetic,17.98,5.97,2.88,61+,Female,224667,81.35,2.79,1.79,Surgery,22532,Yes,68.48,4.41,28834,0.43,54.55
Germany,2004,Ebola,Parasitic,16.16,6.42,4.32,19-35,Male,742107,54.04,0.93,5.39,Therapy,5782,No,57.64,8.31,71627,0.85,20.04
Nigeria,2008,Measles,Parasitic,5.0,2.24,0.8,61+,Other,348805,80.12,3.52,8.44,Surgery,44131,Yes,96.32,4.98,83753,0.89,38.32
Brazil,2017,Malaria,Chronic,6.46,2.57,4.32,0-18,Female,920578,97.5,1.82,6.2,Vaccination,13562,Yes,96.94,7.89,55095,0.87,34.46
South Korea,2001,Measles,Parasitic,18.34,0.54,9.67,19-35,Male,378303,84.37,0.6,9.24,Therapy,23518,No,53.64,8.53,20012,0.78,74.67
UK,2003,Cancer,Viral,2.58,11.33,3.94,36-60,Male,956696,68.62,3.51,8.98,Vaccination,4577,No,74.33,1.03,31869,0.61,85.16
USA,2024,Influenza,Cardiovascular,7.33,3.91,9.44,36-60,Male,38736,72.63,4.82,2.72,Medication,18134,No,85.76,3.61,85303,0.87,33.12
Mexico,2003,Alzheimer's Disease,Cardiovascular,4.61,5.89,1.06,36-60,Female,580598,68.39,4.69,3.51,Vaccination,42830,No,66.35,5.37,15772,0.6,82.09
France,2004,Rabies,Parasitic,9.26,4.24,3.04,0-18,Female,393121,67.59,1.64,9.47,Surgery,21635,Yes,88.45,5.17,39100,0.41,73.4
Australia,2009,Diabetes,Parasitic,15.75,13.78,3.69,36-60,Male,870031,62.81,1.29,7.3,Medication,3836,Yes,85.19,2.38,74916,0.54,73.61
Saudi Arabia,2017,Cancer,Autoimmune,2.47,12.31,5.69,19-35,Female,68194,96.26,3.84,1.51,Surgery,362,No,52.43,9.3,49033,0.85,48.82
Nigeria,2021,Zika,Infectious,8.86,12.13,3.81,36-60,Other,811236,55.04,3.28,2.37,Surgery,8183,No,64.45,7.65,77490,0.84,71.19
Turkey,2019,HIV/AIDS,Parasitic,0.15,1.9,1.64,19-35,Female,222334,80.05,3.33,1.04,Vaccination,45752,No,95.63,7.57,98283,0.6,65.17
UK,2013,Hypertension,Neurological,11.56,4.47,2.74,19-35,Female,937988,67.94,4.74,7.49,Therapy,40975,Yes,66.05,9.59,839,0.8,22.98
Italy,2020,Leprosy,Genetic,12.98,1.26,8.58,19-35,Male,987134,74.03,0.84,8.65,Medication,31412,Yes,76.33,5.48,73143,0.51,60.44
Russia,2002,Dengue,Infectious,2.56,10.22,3.25,19-35,Female,776617,75.67,2.1,10.0,Medication,28344,Yes,74.59,0.3,58480,0.86,58.67
Mexico,2015,Tuberculosis,Bacterial,16.68,5.42,6.29,61+,Other,651763,66.87,1.31,3.23,Therapy,35860,Yes,74.2,2.42,66869,0.54,27.6
Japan,2006,Hepatitis,Respiratory,6.34,3.43,9.12,19-35,Male,881235,95.55,2.24,5.35,Vaccination,8806,Yes,81.02,2.84,69513,0.71,49.15
Italy,2016,Leprosy,Viral,0.73,4.52,5.24,61+,Female,319088,87.82,3.78,2.99,Medication,3781,No,50.84,5.46,81155,0.71,41.15
South Korea,2016,Malaria,Genetic,2.48,9.32,3.82,19-35,Male,241912,97.44,2.06,4.02,Surgery,35642,Yes,71.05,0.89,27378,0.86,35.5
UK,2017,Rabies,Viral,14.71,12.62,1.24,0-18,Female,379629,56.55,1.21,2.2,Therapy,2679,Yes,90.45,9.12,7021,0.5,35.44
Russia,2013,Dengue,Genetic,7.71,11.11,0.34,19-35,Male,340520,73.66,0.64,3.41,Medication,8442,No,69.77,2.86,86923,0.71,66.39
France,2022,Hypertension,Infectious,10.93,11.88,5.33,36-60,Female,767008,93.61,1.78,7.06,Therapy,23217,Yes,62.49,8.52,12407,0.5,59.96
India,2022,Hepatitis,Genetic,11.13,14.82,0.4,19-35,Male,742141,89.33,4.29,3.58,Vaccination,38031,Yes,73.76,4.59,42744,0.86,68.53
Argentina,2002,Measles,Parasitic,7.02,4.49,2.27,19-35,Male,665230,54.85,0.96,8.19,Medication,34432,No,67.98,0.5,1615,0.58,27.57
Saudi Arabia,2022,Hypertension,Cardiovascular,19.39,0.48,0.52,19-35,Male,111109,94.83,1.21,8.38,Vaccination,9630,No,94.43,7.74,34995,0.88,73.98
Japan,2021,Cholera,Bacterial,17.58,3.22,4.32,61+,Male,15607,88.34,4.21,3.25,Therapy,30842,Yes,73.68,5.7,63709,0.48,67.99
Mexico,2007,Malaria,Chronic,13.19,9.58,8.44,0-18,Other,250046,88.07,4.7,7.54,Medication,3196,Yes,55.93,6.68,18333,0.83,60.48
Saudi Arabia,2008,Cholera,Respiratory,2.11,14.95,3.51,19-35,Male,668405,98.97,1.08,0.76,Therapy,44362,Yes,80.4,7.36,48461,0.52,41.46
Turkey,2021,Influenza,Bacterial,5.1,14.76,0.46,0-18,Male,129691,84.1,2.49,0.75,Vaccination,12699,No,64.17,0.11,10679,0.79,71.16
Argentina,2024,Polio,Neurological,2.91,0.96,7.91,19-35,Male,137836,97.75,3.93,5.13,Medication,42074,No,67.66,6.59,25323,0.6,29.93
France,2015,Polio,Respiratory,13.18,12.19,6.87,19-35,Female,940586,60.55,3.76,5.9,Vaccination,34382,No,79.63,7.99,46604,0.6,26.34
Saudi Arabia,2016,Cholera,Infectious,8.74,4.45,9.09,61+,Male,241426,87.48,4.21,8.56,Medication,30327,No,87.58,5.38,27509,0.64,67.73
Canada,2014,Tuberculosis,Metabolic,2.49,13.15,5.29,19-35,Other,712507,71.12,3.13,6.29,Medication,49098,No,83.15,2.94,32029,0.75,23.86
China,2015,Zika,Viral,10.78,14.43,5.98,61+,Female,806793,54.97,1.55,3.58,Vaccination,47285,Yes,73.6,9.54,77159,0.57,52.43
USA,2022,Ebola,Autoimmune,4.23,2.34,2.61,0-18,Other,607409,89.97,4.14,6.02,Medication,34873,Yes,53.27,7.9,73124,0.9,37.15
India,2024,Asthma,Autoimmune,18.92,10.45,5.14,36-60,Other,563162,57.33,3.11,8.22,Medication,49518,Yes,76.74,4.04,91411,0.9,55.67
China,2019,Rabies,Infectious,18.94,4.04,2.03,36-60,Female,24397,62.91,3.61,7.13,Therapy,27382,No,91.75,3.66,27400,0.44,65.07
South Korea,2007,Polio,Parasitic,13.08,5.11,2.67,36-60,Female,419691,93.8,2.84,4.92,Surgery,8030,Yes,80.31,6.17,38485,0.78,77.65
Turkey,2010,Zika,Genetic,16.56,3.59,8.53,36-60,Other,54121,86.71,3.89,1.19,Therapy,32367,Yes,85.31,3.64,35239,0.54,30.35
Turkey,2020,Tuberculosis,Neurological,11.2,4.45,0.68,61+,Other,63529,92.86,2.28,4.04,Medication,4750,No,82.57,5.67,47444,0.71,78.7
Brazil,2011,Tuberculosis,Chronic,13.82,3.62,8.61,36-60,Other,898621,62.31,1.87,3.2,Vaccination,27491,No,60.41,7.41,1928,0.73,88.28
Australia,2012,Diabetes,Infectious,15.09,6.91,0.72,0-18,Male,564646,52.98,2.34,4.67,Therapy,9428,No,74.21,6.03,49944,0.74,47.32
Brazil,2018,COVID-19,Autoimmune,2.54,6.7,9.01,0-18,Male,463037,67.48,3.27,8.85,Therapy,28962,Yes,84.98,1.36,63295,0.51,77.23
Turkey,2016,Hypertension,Neurological,3.96,9.7,3.42,61+,Female,54514,72.16,4.54,4.1,Medication,19276,Yes,56.09,9.6,31212,0.7,85.68
Australia,2004,Cholera,Respiratory,7.44,3.9,8.78,61+,Female,424777,90.98,3.63,6.76,Surgery,38771,No,63.65,0.19,60491,0.5,26.88
USA,2004,Alzheimer's Disease,Viral,14.73,7.0,5.58,0-18,Other,315331,77.57,1.31,5.39,Medication,8591,Yes,83.9,8.17,7961,0.45,81.45
Argentina,2000,Hepatitis,Genetic,4.08,11.88,1.1,0-18,Other,425893,63.17,3.07,7.84,Vaccination,29137,No,70.54,6.52,21827,0.84,32.52
France,2017,HIV/AIDS,Metabolic,0.87,8.63,9.72,0-18,Other,902210,69.85,3.5,5.62,Vaccination,9247,Yes,83.22,2.19,86152,0.63,32.53
South Africa,2018,Hepatitis,Chronic,4.94,6.53,1.98,61+,Other,592936,52.98,4.33,1.92,Vaccination,38375,Yes,85.95,5.44,6379,0.44,28.48
Brazil,2014,Dengue,Metabolic,1.37,11.32,3.43,0-18,Other,332312,66.56,3.78,5.52,Therapy,39736,No,97.29,0.35,28271,0.72,66.44
South Korea,2015,Zika,Parasitic,4.46,9.49,2.61,0-18,Female,810325,69.16,2.3,1.77,Medication,21535,Yes,67.98,7.26,25485,0.81,33.28
Brazil,2011,Malaria,Autoimmune,9.02,11.31,1.76,36-60,Male,750966,63.71,4.0,5.08,Surgery,20139,No,82.08,5.81,19029,0.72,73.45
Indonesia,2002,Zika,Metabolic,5.52,6.58,4.44,36-60,Female,97989,73.57,2.92,7.04,Vaccination,46601,Yes,88.53,7.21,3248,0.8,63.22
Italy,2016,Cancer,Respiratory,17.54,14.73,8.08,19-35,Other,200220,73.48,3.86,4.27,Medication,42344,Yes,60.37,2.04,13369,0.82,78.42
Brazil,2010,COVID-19,Respiratory,3.41,3.92,8.16,19-35,Male,150767,78.15,4.4,0.93,Therapy,1547,No,50.56,6.28,84948,0.68,58.12
Japan,2004,Leprosy,Genetic,14.29,13.13,1.88,36-60,Other,495325,85.92,2.12,2.46,Vaccination,27575,Yes,96.66,1.8,95888,0.65,64.84
Brazil,2003,Cancer,Metabolic,11.45,5.58,6.97,0-18,Female,462411,98.19,2.81,1.34,Therapy,19067,Yes,89.89,6.34,35505,0.58,44.95
USA,2004,Cancer,Viral,8.31,12.68,3.8,0-18,Female,179974,69.48,1.06,1.25,Surgery,36241,No,91.47,6.71,46118,0.89,69.81
Japan,2004,Ebola,Respiratory,3.47,11.83,1.57,0-18,Other,917753,75.59,1.73,2.33,Vaccination,40601,No,85.55,4.84,57659,0.48,30.94
Saudi Arabia,2024,HIV/AIDS,Genetic,11.14,14.97,0.31,36-60,Male,830915,68.95,4.67,2.64,Medication,32077,No,92.81,3.26,45792,0.58,84.74
Russia,2007,Diabetes,Bacterial,16.87,5.66,3.84,36-60,Female,381234,77.52,2.57,6.93,Vaccination,16782,No,83.16,2.73,79376,0.55,50.42
Russia,2001,Leprosy,Cardiovascular,9.16,3.58,0.33,0-18,Other,973605,65.02,1.45,3.75,Therapy,25671,Yes,81.69,6.72,70843,0.54,35.87
Canada,2018,Cholera,Neurological,18.93,8.14,1.78,0-18,Other,5793,63.25,2.42,3.18,Therapy,31964,Yes,58.98,3.78,53164,0.76,86.93
Germany,2007,Leprosy,Neurological,10.38,12.13,8.43,0-18,Female,272897,67.48,3.56,7.63,Medication,30397,No,70.47,1.1,68709,0.54,72.88
UK,2003,Zika,Viral,4.08,2.6,6.53,19-35,Male,515065,55.46,2.13,4.17,Therapy,1656,No,67.01,0.89,71148,0.68,27.18
South Korea,2021,Zika,Autoimmune,3.67,7.64,1.09,19-35,Male,557777,92.06,2.37,6.15,Surgery,28498,Yes,85.22,1.96,59828,0.49,70.84
Turkey,2004,Cancer,Chronic,11.86,8.15,9.31,36-60,Male,708790,62.28,1.2,6.92,Medication,48312,No,57.04,9.62,97684,0.87,39.37
UK,2016,Tuberculosis,Chronic,13.3,11.55,6.16,36-60,Male,521006,92.41,2.31,2.8,Surgery,26780,No,98.63,5.0,10631,0.87,62.88
China,2023,Zika,Parasitic,14.14,5.17,3.25,61+,Male,481973,68.18,3.08,1.14,Surgery,45148,Yes,76.36,1.51,16318,0.63,28.55
Brazil,2011,Rabies,Viral,17.86,8.03,7.51,61+,Male,246970,50.93,4.87,7.65,Medication,13318,Yes,79.24,5.84,82272,0.51,41.7
Nigeria,2003,HIV/AIDS,Metabolic,13.01,5.49,7.8,0-18,Other,749548,57.79,2.95,2.9,Vaccination,7591,No,73.11,3.84,40708,0.66,66.8
UK,2009,Malaria,Parasitic,17.68,14.28,6.74,0-18,Other,793187,56.86,0.91,1.01,Therapy,15743,No,60.34,1.15,85306,0.57,29.31
Brazil,2004,Hypertension,Chronic,4.46,5.42,3.26,61+,Male,366255,86.94,1.63,8.38,Vaccination,19230,No,93.08,2.94,1080,0.64,36.37
China,2020,Alzheimer's Disease,Autoimmune,5.52,7.81,8.77,0-18,Male,935031,83.63,4.45,9.95,Medication,35879,Yes,65.9,8.94,31892,0.64,46.79
France,2001,Tuberculosis,Genetic,12.48,13.66,3.17,61+,Female,164964,86.01,0.91,5.96,Surgery,25938,No,89.63,5.66,57672,0.55,66.93
China,2024,Ebola,Parasitic,5.35,0.54,5.57,61+,Male,628977,92.85,2.5,9.19,Vaccination,35443,No,91.47,8.09,89417,0.48,45.86
South Africa,2023,Cholera,Metabolic,14.53,8.08,4.27,19-35,Male,26661,78.18,1.99,5.29,Vaccination,13529,Yes,97.6,5.25,64385,0.73,66.42
South Africa,2009,Leprosy,Metabolic,9.57,4.49,2.61,36-60,Female,206484,75.22,4.93,8.47,Therapy,48119,No,66.16,8.76,82648,0.5,48.37
Brazil,2013,Cholera,Infectious,13.8,9.14,4.4,19-35,Other,375092,53.37,3.8,3.55,Vaccination,23450,Yes,61.7,9.18,94127,0.55,34.84
Canada,2022,Influenza,Metabolic,3.31,4.48,5.99,61+,Other,169964,53.78,4.56,2.7,Medication,2743,Yes,63.25,6.33,88104,0.87,68.16
South Africa,2009,Cholera,Respiratory,1.84,6.46,7.73,0-18,Male,269603,67.75,0.52,8.88,Therapy,46813,Yes,83.02,0.19,85064,0.71,44.44
South Korea,2018,Tuberculosis,Infectious,4.01,1.88,2.99,36-60,Other,689925,55.49,3.36,2.53,Vaccination,36884,Yes,53.06,0.62,41410,0.62,67.52
Indonesia,2011,Cholera,Cardiovascular,12.18,5.8,1.33,36-60,Other,487015,58.71,1.46,4.62,Surgery,15933,Yes,56.17,9.39,51154,0.44,20.83
Mexico,2004,Rabies,Autoimmune,11.79,3.99,0.18,19-35,Other,993188,99.2,3.05,0.89,Vaccination,22217,Yes,75.17,4.58,32359,0.62,43.15
South Africa,2022,Zika,Infectious,0.56,14.73,9.04,19-35,Female,817349,53.74,3.49,2.93,Medication,24124,No,63.82,9.45,7662,0.79,42.82
Brazil,2001,Influenza,Respiratory,2.26,0.24,2.38,0-18,Male,437289,97.5,1.17,3.47,Therapy,39074,Yes,91.2,7.72,71475,0.88,41.39
UK,2023,Hypertension,Chronic,10.75,2.1,3.63,0-18,Female,1526,54.28,4.39,7.75,Medication,11561,Yes,51.75,5.85,93520,0.87,71.36
Russia,2017,Hypertension,Neurological,1.02,10.23,3.35,0-18,Male,280246,82.05,4.81,8.89,Therapy,45857,No,73.82,8.02,50494,0.53,20.75
India,2006,Influenza,Metabolic,15.66,6.2,5.5,19-35,Other,917789,93.28,2.27,5.91,Therapy,4394,Yes,86.19,6.59,64317,0.78,21.12
China,2012,Alzheimer's Disease,Viral,10.07,13.27,2.68,36-60,Other,792066,90.99,1.77,1.39,Surgery,24976,Yes,61.37,5.51,70798,0.47,31.5
Canada,2002,HIV/AIDS,Infectious,19.41,4.68,8.19,61+,Female,795230,55.03,3.66,3.62,Medication,47480,Yes,88.63,6.83,80743,0.74,86.37
China,2017,Hepatitis,Chronic,2.7,13.15,4.41,19-35,Female,567950,63.05,3.33,5.71,Surgery,27320,Yes,71.45,5.48,10859,0.7,48.5
Argentina,2021,Influenza,Neurological,10.0,11.0,4.1,19-35,Other,962243,91.53,2.76,0.57,Vaccination,18583,No,89.26,9.9,71299,0.79,54.31
Argentina,2012,HIV/AIDS,Chronic,17.98,2.9,7.7,36-60,Male,762677,58.93,2.2,2.21,Vaccination,15599,Yes,61.3,1.52,21216,0.74,78.56
South Africa,2001,Influenza,Respiratory,3.32,9.18,4.0,36-60,Other,483201,55.69,0.67,1.36,Therapy,15278,No,84.85,8.02,42885,0.66,20.1
Turkey,2001,Cancer,Chronic,17.28,9.35,6.4,36-60,Male,470299,71.9,4.69,9.7,Surgery,34580,Yes,68.4,1.49,20004,0.85,60.84
